sentence 1,sentence 2,score
"['hahaha', 'ik', 'had', 'nog', 'nooit', 'de', 'clip', 'hiervan', 'gezien', 'Echt', 'peak', '90', '’', 's', 'die', 'soft', 'focus', 'achtige', 'stijl', '.']","['Grappig', ',', 'hier', 'heb', 'ik', 'nog', 'nooit', 'de', 'video', 'van', 'gezien', '.', 'Die', 'zachte', 'focus-stijl', 'is', 'hoogtepunt', 'jaren', 'negentig', '.']",0.0567
"['hahaha', 'ik', 'had', 'nog', 'nooit', 'de', 'clip', 'hiervan', 'gezien', 'Echt', 'peak', '90', '’', 's', 'die', 'soft', 'focus', 'achtige', 'stijl', '.']","['Ik', 'had', 'deze', 'videoclip', 'nooit', 'eerder', 'gezien', '.', 'De', 'stijl', 'is', 'zeer', 'kenmerkend', 'voor', 'de', 'jaren', ""'90"", '.']",0.0151
"['hahaha', 'ik', 'had', 'nog', 'nooit', 'de', 'clip', 'hiervan', 'gezien', 'Echt', 'peak', '90', '’', 's', 'die', 'soft', 'focus', 'achtige', 'stijl', '.']","['Ik', 'heb', 'deze', 'videoclip', 'nog', 'niet', 'eerder', 'gezien', '.', 'De', 'soft', 'focus', 'stijl', 'was', 'erg', 'populair', 'in', 'de', 'jaren', 'negentig', '.']",0.0264
"['Grappig', ',', 'hier', 'heb', 'ik', 'nog', 'nooit', 'de', 'video', 'van', 'gezien', '.', 'Die', 'zachte', 'focus-stijl', 'is', 'hoogtepunt', 'jaren', 'negentig', '.']","['Ik', 'had', 'deze', 'videoclip', 'nooit', 'eerder', 'gezien', '.', 'De', 'stijl', 'is', 'zeer', 'kenmerkend', 'voor', 'de', 'jaren', ""'90"", '.']",0.028
"['Grappig', ',', 'hier', 'heb', 'ik', 'nog', 'nooit', 'de', 'video', 'van', 'gezien', '.', 'Die', 'zachte', 'focus-stijl', 'is', 'hoogtepunt', 'jaren', 'negentig', '.']","['Ik', 'heb', 'deze', 'videoclip', 'nog', 'niet', 'eerder', 'gezien', '.', 'De', 'soft', 'focus', 'stijl', 'was', 'erg', 'populair', 'in', 'de', 'jaren', 'negentig', '.']",0.0639
"['Ik', 'had', 'deze', 'videoclip', 'nooit', 'eerder', 'gezien', '.', 'De', 'stijl', 'is', 'zeer', 'kenmerkend', 'voor', 'de', 'jaren', ""'90"", '.']","['Ik', 'heb', 'deze', 'videoclip', 'nog', 'niet', 'eerder', 'gezien', '.', 'De', 'soft', 'focus', 'stijl', 'was', 'erg', 'populair', 'in', 'de', 'jaren', 'negentig', '.']",0.1664
"['Maar', 'oh', 'oh', 'wat', 'gek', 'dat', 'mensen', 'daar', 'wat', 'van', 'vinden']","['Het', 'is', 'toch', 'niet', 'gek', 'dat', 'mensen', 'daar', 'een', 'mening', 'over', 'hebben', '.']",0.1934
"['Maar', 'oh', 'oh', 'wat', 'gek', 'dat', 'mensen', 'daar', 'wat', 'van', 'vinden']","['Wat', 'bijzonder', 'dat', 'men', 'daar', 'een', 'mening', 'over', 'heeft', '.']",0.0227
"['Maar', 'oh', 'oh', 'wat', 'gek', 'dat', 'mensen', 'daar', 'wat', 'van', 'vinden']","['Wat', 'vreemd', 'dat', 'mensen', 'daar', 'een', 'mening', 'over', 'hebben', '.']",0.0945
"['Het', 'is', 'toch', 'niet', 'gek', 'dat', 'mensen', 'daar', 'een', 'mening', 'over', 'hebben', '.']","['Wat', 'bijzonder', 'dat', 'men', 'daar', 'een', 'mening', 'over', 'heeft', '.']",0.2154
"['Het', 'is', 'toch', 'niet', 'gek', 'dat', 'mensen', 'daar', 'een', 'mening', 'over', 'hebben', '.']","['Wat', 'vreemd', 'dat', 'mensen', 'daar', 'een', 'mening', 'over', 'hebben', '.']",0.5629
"['Wat', 'bijzonder', 'dat', 'men', 'daar', 'een', 'mening', 'over', 'heeft', '.']","['Wat', 'vreemd', 'dat', 'mensen', 'daar', 'een', 'mening', 'over', 'hebben', '.']",0.3021
"['aaf', 'brandt', 'cortius', 'had', 'ooit', 'een', 'goede', 'ezelsbrug', ',', 'degene', 'die', 'lijkt', 'op', 'een', 'Simon', 'heet', 'Nick', ',', 'en', 'degene', 'die', 'lijkt', 'op', 'een', 'Nick', 'heet', 'Simon', '.']","['Aaf', 'Brandt', 'Corstius', 'had', 'ooit', 'goede', 'ezelsbrug', 'bedacht', ':', 'de', 'persoon', 'lijkend', 'op', 'Simon', 'heet', 'Nick', 'en', 'de', 'persoon', 'lijkend', 'op', 'Nick', 'heet', 'Simon', '.']",0.1565
"['aaf', 'brandt', 'cortius', 'had', 'ooit', 'een', 'goede', 'ezelsbrug', ',', 'degene', 'die', 'lijkt', 'op', 'een', 'Simon', 'heet', 'Nick', ',', 'en', 'degene', 'die', 'lijkt', 'op', 'een', 'Nick', 'heet', 'Simon', '.']","['Aaf', 'Brandt', 'Corstius', 'heeft', 'een', 'handig', 'ezelsbruggetje', 'bedacht', '.', 'De', 'man', 'die', 'lijkt', 'alsof', 'hij', 'Simon', 'heet', ',', 'heet', 'eigenlijk', 'Nick', '.', 'De', 'man', 'die', 'lijkt', 'alsof', 'hij', 'Nick', 'heet', ',', 'heet', 'Simon', '.']",0.0524
"['aaf', 'brandt', 'cortius', 'had', 'ooit', 'een', 'goede', 'ezelsbrug', ',', 'degene', 'die', 'lijkt', 'op', 'een', 'Simon', 'heet', 'Nick', ',', 'en', 'degene', 'die', 'lijkt', 'op', 'een', 'Nick', 'heet', 'Simon', '.']","['Aaf', 'Brandt', 'Corstius', 'heeft', 'ooit', 'een', 'goede', 'ezelsbrug', 'bedacht', '.', 'Degene', 'die', 'lijkt', 'op', 'een', 'Simon', 'heet', 'Nick', 'en', 'degene', 'die', 'lijkt', 'op', 'een', 'Nick', 'heet', 'Simon', '.']",0.61
"['Aaf', 'Brandt', 'Corstius', 'had', 'ooit', 'goede', 'ezelsbrug', 'bedacht', ':', 'de', 'persoon', 'lijkend', 'op', 'Simon', 'heet', 'Nick', 'en', 'de', 'persoon', 'lijkend', 'op', 'Nick', 'heet', 'Simon', '.']","['Aaf', 'Brandt', 'Corstius', 'heeft', 'een', 'handig', 'ezelsbruggetje', 'bedacht', '.', 'De', 'man', 'die', 'lijkt', 'alsof', 'hij', 'Simon', 'heet', ',', 'heet', 'eigenlijk', 'Nick', '.', 'De', 'man', 'die', 'lijkt', 'alsof', 'hij', 'Nick', 'heet', ',', 'heet', 'Simon', '.']",0.0587
"['Aaf', 'Brandt', 'Corstius', 'had', 'ooit', 'goede', 'ezelsbrug', 'bedacht', ':', 'de', 'persoon', 'lijkend', 'op', 'Simon', 'heet', 'Nick', 'en', 'de', 'persoon', 'lijkend', 'op', 'Nick', 'heet', 'Simon', '.']","['Aaf', 'Brandt', 'Corstius', 'heeft', 'ooit', 'een', 'goede', 'ezelsbrug', 'bedacht', '.', 'Degene', 'die', 'lijkt', 'op', 'een', 'Simon', 'heet', 'Nick', 'en', 'degene', 'die', 'lijkt', 'op', 'een', 'Nick', 'heet', 'Simon', '.']",0.2538
"['Aaf', 'Brandt', 'Corstius', 'heeft', 'een', 'handig', 'ezelsbruggetje', 'bedacht', '.', 'De', 'man', 'die', 'lijkt', 'alsof', 'hij', 'Simon', 'heet', ',', 'heet', 'eigenlijk', 'Nick', '.', 'De', 'man', 'die', 'lijkt', 'alsof', 'hij', 'Nick', 'heet', ',', 'heet', 'Simon', '.']","['Aaf', 'Brandt', 'Corstius', 'heeft', 'ooit', 'een', 'goede', 'ezelsbrug', 'bedacht', '.', 'Degene', 'die', 'lijkt', 'op', 'een', 'Simon', 'heet', 'Nick', 'en', 'degene', 'die', 'lijkt', 'op', 'een', 'Nick', 'heet', 'Simon', '.']",0.147
"['hahaha', 'gvd', 'ik', 'ben', 'echt', 'te', 'invested']","['Potverdorie', ',', 'ik', 'heb', 'hier', 'te', 'veel', 'belang', 'bij', '.']",0.0251
"['hahaha', 'gvd', 'ik', 'ben', 'echt', 'te', 'invested']","['Ik', 'ben', 'zeer', 'geïnvesteerd', 'in', 'deze', 'ontwikkeling', '.']",0.0278
"['hahaha', 'gvd', 'ik', 'ben', 'echt', 'te', 'invested']","['Ik', 'ben', 'zeer', 'geïnvesteerd', 'hier', 'in', '.']",0.033
"['Potverdorie', ',', 'ik', 'heb', 'hier', 'te', 'veel', 'belang', 'bij', '.']","['Ik', 'ben', 'zeer', 'geïnvesteerd', 'in', 'deze', 'ontwikkeling', '.']",0.0216
"['Potverdorie', ',', 'ik', 'heb', 'hier', 'te', 'veel', 'belang', 'bij', '.']","['Ik', 'ben', 'zeer', 'geïnvesteerd', 'hier', 'in', '.']",0.0256
"['Ik', 'ben', 'zeer', 'geïnvesteerd', 'in', 'deze', 'ontwikkeling', '.']","['Ik', 'ben', 'zeer', 'geïnvesteerd', 'hier', 'in', '.']",0.3944
"['dit', 'klinkt', 'een', 'beetje', 'too', 'good', 'to', 'be', 'true', 'eigenlijk']","['Dit', 'klinkt', 'enigszins', 'te', 'mooi', 'om', 'waard', 'te', 'zijn', '.']",0.0211
"['dit', 'klinkt', 'een', 'beetje', 'too', 'good', 'to', 'be', 'true', 'eigenlijk']","['Dit', 'klinkt', 'alsof', 'het', 'te', 'mooi', 'is', 'om', 'waar', 'te', 'zijn', '.']",0.017
"['dit', 'klinkt', 'een', 'beetje', 'too', 'good', 'to', 'be', 'true', 'eigenlijk']","['Dit', 'klinkt', 'te', 'mooi', 'om', 'waar', 'te', 'zijn', '.']",0.0215
"['Dit', 'klinkt', 'enigszins', 'te', 'mooi', 'om', 'waard', 'te', 'zijn', '.']","['Dit', 'klinkt', 'alsof', 'het', 'te', 'mooi', 'is', 'om', 'waar', 'te', 'zijn', '.']",0.1281
"['Dit', 'klinkt', 'enigszins', 'te', 'mooi', 'om', 'waard', 'te', 'zijn', '.']","['Dit', 'klinkt', 'te', 'mooi', 'om', 'waar', 'te', 'zijn', '.']",0.2029
"['Dit', 'klinkt', 'alsof', 'het', 'te', 'mooi', 'is', 'om', 'waar', 'te', 'zijn', '.']","['Dit', 'klinkt', 'te', 'mooi', 'om', 'waar', 'te', 'zijn', '.']",0.4099
"['Nu', 'snap', 'ik', 'wel', 'beter', 'dat', 'hij', 'niet', '(', 'snel', ')', 'ingrijpt', 'met', 'de', 'slang', 'want', 'hij', 'weet', 'wschn', 'ook', 'niet', 'wat', 'ie', 'moet', 'doen', '.']","['Ik', 'begrijp', 'nu', 'wel', 'beter', 'waarom', 'hij', 'niet', '(', 'snel', ')', 'ingrijpt', 'met', 'de', 'slang', '.', 'Hij', 'weet', 'waarschijnlijk', 'niet', 'wat', 'hij', 'moet', 'doen', '.']",0.413
"['Nu', 'snap', 'ik', 'wel', 'beter', 'dat', 'hij', 'niet', '(', 'snel', ')', 'ingrijpt', 'met', 'de', 'slang', 'want', 'hij', 'weet', 'wschn', 'ook', 'niet', 'wat', 'ie', 'moet', 'doen', '.']","['Aangezien', 'hij', 'vermoedelijk', 'ook', 'geen', 'kennis', 'van', 'zaken', 'heeft', ',', 'begrijp', 'ik', 'nu', 'beter', 'waarom', 'hij', 'niet', 'tijdig', 'ingrijpt', 'met', 'de', 'slang', '.']",0.1252
"['Nu', 'snap', 'ik', 'wel', 'beter', 'dat', 'hij', 'niet', '(', 'snel', ')', 'ingrijpt', 'met', 'de', 'slang', 'want', 'hij', 'weet', 'wschn', 'ook', 'niet', 'wat', 'ie', 'moet', 'doen', '.']","['Nu', 'begrijp', 'ik', 'beter', 'waarom', 'hij', 'niet', 'ingrijpt', 'met', 'de', 'slang', '.', 'Hij', 'weet', 'waarschijnlijk', 'ook', 'niet', 'wat', 'hij', 'moet', 'doen', '.']",0.1967
"['Ik', 'begrijp', 'nu', 'wel', 'beter', 'waarom', 'hij', 'niet', '(', 'snel', ')', 'ingrijpt', 'met', 'de', 'slang', '.', 'Hij', 'weet', 'waarschijnlijk', 'niet', 'wat', 'hij', 'moet', 'doen', '.']","['Aangezien', 'hij', 'vermoedelijk', 'ook', 'geen', 'kennis', 'van', 'zaken', 'heeft', ',', 'begrijp', 'ik', 'nu', 'beter', 'waarom', 'hij', 'niet', 'tijdig', 'ingrijpt', 'met', 'de', 'slang', '.']",0.2544
"['Ik', 'begrijp', 'nu', 'wel', 'beter', 'waarom', 'hij', 'niet', '(', 'snel', ')', 'ingrijpt', 'met', 'de', 'slang', '.', 'Hij', 'weet', 'waarschijnlijk', 'niet', 'wat', 'hij', 'moet', 'doen', '.']","['Nu', 'begrijp', 'ik', 'beter', 'waarom', 'hij', 'niet', 'ingrijpt', 'met', 'de', 'slang', '.', 'Hij', 'weet', 'waarschijnlijk', 'ook', 'niet', 'wat', 'hij', 'moet', 'doen', '.']",0.5646
"['Aangezien', 'hij', 'vermoedelijk', 'ook', 'geen', 'kennis', 'van', 'zaken', 'heeft', ',', 'begrijp', 'ik', 'nu', 'beter', 'waarom', 'hij', 'niet', 'tijdig', 'ingrijpt', 'met', 'de', 'slang', '.']","['Nu', 'begrijp', 'ik', 'beter', 'waarom', 'hij', 'niet', 'ingrijpt', 'met', 'de', 'slang', '.', 'Hij', 'weet', 'waarschijnlijk', 'ook', 'niet', 'wat', 'hij', 'moet', 'doen', '.']",0.2934
"['!', '”', 'en', 'hij', 'keek', 'me', 'aan', 'van', 'ehhh', ',', 'wat', 'zei', 'je', '?', '?']","['Hij', 'keek', 'mij', 'onbegrijpend', 'aan', '.']",0.0108
"['!', '”', 'en', 'hij', 'keek', 'me', 'aan', 'van', 'ehhh', ',', 'wat', 'zei', 'je', '?', '?']","['Hij', 'keek', 'me', 'vragend', 'aan', '.']",0.0213
"['!', '”', 'en', 'hij', 'keek', 'me', 'aan', 'van', 'ehhh', ',', 'wat', 'zei', 'je', '?', '?']","['Hij', 'keek', 'me', 'verbaasd', 'aan', '.']",0.0213
"['Hij', 'keek', 'mij', 'onbegrijpend', 'aan', '.']","['Hij', 'keek', 'me', 'vragend', 'aan', '.']",0.1221
"['Hij', 'keek', 'mij', 'onbegrijpend', 'aan', '.']","['Hij', 'keek', 'me', 'verbaasd', 'aan', '.']",0.1221
"['Hij', 'keek', 'me', 'vragend', 'aan', '.']","['Hij', 'keek', 'me', 'verbaasd', 'aan', '.']",0.2541
"['Maar', 'hoe', 'DOM', 'ben', 'je', 'dat', 'je', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '?', '?']","['Hij', 'is', 'vrij', 'dom', 'als', 'hij', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '.']",0.3263
"['Maar', 'hoe', 'DOM', 'ben', 'je', 'dat', 'je', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '?', '?']","['Je', 'kan', 'niet', 'erg', 'slim', 'zijn', 'als', 'je', 'denkt', 'dat', 'de', 'waarheid', 'niet', 'gaat', 'uitkomen', '.']",0.1024
"['Maar', 'hoe', 'DOM', 'ben', 'je', 'dat', 'je', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '?', '?']","['Het', 'getuigt', 'niet', 'van', 'veel', 'verstand', 'als', 'je', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '.']",0.4002
"['Hij', 'is', 'vrij', 'dom', 'als', 'hij', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '.']","['Je', 'kan', 'niet', 'erg', 'slim', 'zijn', 'als', 'je', 'denkt', 'dat', 'de', 'waarheid', 'niet', 'gaat', 'uitkomen', '.']",0.1892
"['Hij', 'is', 'vrij', 'dom', 'als', 'hij', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '.']","['Het', 'getuigt', 'niet', 'van', 'veel', 'verstand', 'als', 'je', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '.']",0.4137
"['Je', 'kan', 'niet', 'erg', 'slim', 'zijn', 'als', 'je', 'denkt', 'dat', 'de', 'waarheid', 'niet', 'gaat', 'uitkomen', '.']","['Het', 'getuigt', 'niet', 'van', 'veel', 'verstand', 'als', 'je', 'denkt', 'dat', 'dit', 'niet', 'gaat', 'uitkomen', '.']",0.317
"['ik', 'ken', 'echt', 'niemand', 'van', 'deze', 'mensen', ':', '(']","['Ik', 'ben', 'helaas', 'niet', 'bekend', 'met', 'deze', 'mensen', '.']",0.0507
"['ik', 'ken', 'echt', 'niemand', 'van', 'deze', 'mensen', ':', '(']","['Ik', 'ken', 'geen', 'van', 'deze', 'mensen', '.']",0.132
"['ik', 'ken', 'echt', 'niemand', 'van', 'deze', 'mensen', ':', '(']","['Helaas', 'ken', 'ik', 'deze', 'mensen', 'allemaal', 'niet', '.']",0.0616
"['Ik', 'ben', 'helaas', 'niet', 'bekend', 'met', 'deze', 'mensen', '.']","['Ik', 'ken', 'geen', 'van', 'deze', 'mensen', '.']",0.132
"['Ik', 'ben', 'helaas', 'niet', 'bekend', 'met', 'deze', 'mensen', '.']","['Helaas', 'ken', 'ik', 'deze', 'mensen', 'allemaal', 'niet', '.']",0.0616
"['Ik', 'ken', 'geen', 'van', 'deze', 'mensen', '.']","['Helaas', 'ken', 'ik', 'deze', 'mensen', 'allemaal', 'niet', '.']",0.0699
"['Zo', '’', 'n', 'lekker', 'nummer', 'dat', 'ook', 'btw', 'aanrader', 'voor', 'iedereen']","['Zo', 'een', 'leuk', 'liedje', 'trouwens', ',', 'dat', 'kan', 'ik', 'iedereen', 'aanraden', '.']",0.0224
"['Zo', '’', 'n', 'lekker', 'nummer', 'dat', 'ook', 'btw', 'aanrader', 'voor', 'iedereen']","['Dit', 'is', 'een', 'goed', 'nummer', 'dat', 'ik', 'aan', 'iedereen', 'aan', 'kan', 'raden', '.']",0.0364
"['Zo', '’', 'n', 'lekker', 'nummer', 'dat', 'ook', 'btw', 'aanrader', 'voor', 'iedereen']","['Dit', 'is', 'een', 'zeer', 'goed', 'nummer', '.', 'Ik', 'raad', 'het', 'iedereen', 'aan', 'om', 'er', 'naar', 'te', 'luisteren', '.']",0.0128
"['Zo', 'een', 'leuk', 'liedje', 'trouwens', ',', 'dat', 'kan', 'ik', 'iedereen', 'aanraden', '.']","['Dit', 'is', 'een', 'goed', 'nummer', 'dat', 'ik', 'aan', 'iedereen', 'aan', 'kan', 'raden', '.']",0.0243
"['Zo', 'een', 'leuk', 'liedje', 'trouwens', ',', 'dat', 'kan', 'ik', 'iedereen', 'aanraden', '.']","['Dit', 'is', 'een', 'zeer', 'goed', 'nummer', '.', 'Ik', 'raad', 'het', 'iedereen', 'aan', 'om', 'er', 'naar', 'te', 'luisteren', '.']",0.0142
"['Dit', 'is', 'een', 'goed', 'nummer', 'dat', 'ik', 'aan', 'iedereen', 'aan', 'kan', 'raden', '.']","['Dit', 'is', 'een', 'zeer', 'goed', 'nummer', '.', 'Ik', 'raad', 'het', 'iedereen', 'aan', 'om', 'er', 'naar', 'te', 'luisteren', '.']",0.0812
"['mgoed', 'niet', 'dat', 'die', 'kinderen', 'verder', 'een', 'heel', 'normaal', 'en', 'veilig', 'leven', 'leiden']","['Maar', 'goed', ',', 'die', 'kinderen', 'leiden', 'verder', 'geen', 'heel', 'normaal', 'en', 'veilig', 'leven', '.']",0.3256
"['mgoed', 'niet', 'dat', 'die', 'kinderen', 'verder', 'een', 'heel', 'normaal', 'en', 'veilig', 'leven', 'leiden']","['Die', 'kinderen', 'hebben', 'een', 'abnormaal', ',', 'onveilig', 'leven', '.']",0.0202
"['mgoed', 'niet', 'dat', 'die', 'kinderen', 'verder', 'een', 'heel', 'normaal', 'en', 'veilig', 'leven', 'leiden']","['Die', 'kinderen', 'leiden', 'niet', 'bepaald', 'een', 'normaal', 'en', 'veilig', 'leven', '.']",0.2326
"['Maar', 'goed', ',', 'die', 'kinderen', 'leiden', 'verder', 'geen', 'heel', 'normaal', 'en', 'veilig', 'leven', '.']","['Die', 'kinderen', 'hebben', 'een', 'abnormaal', ',', 'onveilig', 'leven', '.']",0.0346
"['Maar', 'goed', ',', 'die', 'kinderen', 'leiden', 'verder', 'geen', 'heel', 'normaal', 'en', 'veilig', 'leven', '.']","['Die', 'kinderen', 'leiden', 'niet', 'bepaald', 'een', 'normaal', 'en', 'veilig', 'leven', '.']",0.3072
"['Die', 'kinderen', 'hebben', 'een', 'abnormaal', ',', 'onveilig', 'leven', '.']","['Die', 'kinderen', 'leiden', 'niet', 'bepaald', 'een', 'normaal', 'en', 'veilig', 'leven', '.']",0.0596
"['Heb', 'ze', 'al', '4', 'keer', 'gezien', 'maar', 'ready', 'for', 'another', 'one', 'B', '!']","['Ik', 'heb', 'ze', 'al', '4', 'keer', 'gezien', ',', 'maar', 'klaar', 'voor', 'nog', 'een', 'ronde', '!']",0.2676
"['Heb', 'ze', 'al', '4', 'keer', 'gezien', 'maar', 'ready', 'for', 'another', 'one', 'B', '!']","['Ik', 'heb', 'ze', 'al', 'vier', 'keer', 'gezien', ',', 'maar', 'ik', 'ben', 'klaar', 'om', 'ze', 'nog', 'een', 'keer', 'te', 'zien', '.']",0.0305
"['Heb', 'ze', 'al', '4', 'keer', 'gezien', 'maar', 'ready', 'for', 'another', 'one', 'B', '!']","['Ik', 'heb', 'ze', 'al', 'vier', 'keer', 'gezien', 'maar', 'ik', 'wil', 'ze', 'graag', 'nog', 'een', 'keer', 'zien', '.']",0.0716
"['Ik', 'heb', 'ze', 'al', '4', 'keer', 'gezien', ',', 'maar', 'klaar', 'voor', 'nog', 'een', 'ronde', '!']","['Ik', 'heb', 'ze', 'al', 'vier', 'keer', 'gezien', ',', 'maar', 'ik', 'ben', 'klaar', 'om', 'ze', 'nog', 'een', 'keer', 'te', 'zien', '.']",0.2698
"['Ik', 'heb', 'ze', 'al', '4', 'keer', 'gezien', ',', 'maar', 'klaar', 'voor', 'nog', 'een', 'ronde', '!']","['Ik', 'heb', 'ze', 'al', 'vier', 'keer', 'gezien', 'maar', 'ik', 'wil', 'ze', 'graag', 'nog', 'een', 'keer', 'zien', '.']",0.1992
"['Ik', 'heb', 'ze', 'al', 'vier', 'keer', 'gezien', ',', 'maar', 'ik', 'ben', 'klaar', 'om', 'ze', 'nog', 'een', 'keer', 'te', 'zien', '.']","['Ik', 'heb', 'ze', 'al', 'vier', 'keer', 'gezien', 'maar', 'ik', 'wil', 'ze', 'graag', 'nog', 'een', 'keer', 'zien', '.']",0.42
"['och', 'jezus', 'wat', 'verschrikkelijk', 'dat', 'laatste']","['Jemig', ',', 'dat', 'laatste', 'deel', 'is', 'verschrikkelijk', '.']",0.065
"['och', 'jezus', 'wat', 'verschrikkelijk', 'dat', 'laatste']","['Het', 'laatste', 'deel', 'is', 'vreselijk', '.']",0.0408
"['och', 'jezus', 'wat', 'verschrikkelijk', 'dat', 'laatste']","['Dat', 'laatste', 'is', 'echt', 'verschrikkelijk', '.']",0.0485
"['Jemig', ',', 'dat', 'laatste', 'deel', 'is', 'verschrikkelijk', '.']","['Het', 'laatste', 'deel', 'is', 'vreselijk', '.']",0.1556
"['Jemig', ',', 'dat', 'laatste', 'deel', 'is', 'verschrikkelijk', '.']","['Dat', 'laatste', 'is', 'echt', 'verschrikkelijk', '.']",0.0736
"['Het', 'laatste', 'deel', 'is', 'vreselijk', '.']","['Dat', 'laatste', 'is', 'echt', 'verschrikkelijk', '.']",0.0537
